title,author,expected_series,expected_position,franchise,source,book_id,work_id,series_id,isbn13,ratings_count,average_rating
Eclipse,Stephenie Meyer,Twilight,3,Twilight,goodreads_dump,428263,2675454,163279,9780316160209,1146155,3.69
Eragon,Christopher Paolini,The Inheritance Cycle,1,The Inheritance Cycle,goodreads_dump,113436,3178011,165518,9780375826696,1128913,3.86
Breaking Dawn,Stephenie Meyer,Twilight,4,Twilight,goodreads_dump,1162543,2960529,164443,9780316067928,1078310,3.70
The Notebook,Nicholas Sparks,The Notebook,1,The Notebook,goodreads_dump,15931,1498135,453039,9780553816716,1064723,4.07
The Golden Compass,Philip Pullman,His Dark Materials,1,His Dark Materials,goodreads_dump,119322,1536771,157745,9780679879244,973154,3.94
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide to the Galaxy,1,Hitchhiker's Guide to the Galaxy,goodreads_dump,11,3078186,164982,9780345391803,940154,4.20
Insurgent,Veronica Roth,Divergent,2,Divergent,goodreads_dump,11735983,15524542,237775,9780007442911,849014,4.07
Ender's Game,Orson Scott Card,The Ender Quintet,1,The Ender Quintet,goodreads_dump,375802,2422333,162174,9780812550702,829380,4.30
Holes,Louis Sachar,Holes,1,Holes,goodreads_dump,38709,1679789,259652,9780439244190,766680,3.93
The Host,Stephenie Meyer,The Host,1,The Host,goodreads_dump,1656001,3328799,193194,9780316068048,756375,3.84
Bridget Jones's Diary,Helen Fielding,Bridget Jones,1,Bridget Jones,goodreads_dump,227443,3185154,181080,9780140280098,748926,3.75
The Maze Runner,James Dashner,The Maze Runner,1,The Maze Runner,goodreads_dump,6186357,6366642,534884,9780385737944,745820,4.03
Night,Elie Wiesel,The Night Trilogy,1,The Night Trilogy,goodreads_dump,1617,265616,187331,9780374500016,708754,4.30
The Devil Wears Prada,Lauren Weisberger,The Devil Wears Prada,1,The Devil Wears Prada,goodreads_dump,5139,38765,509657,9780307275554,675927,3.70
Miss Peregrine’s Home for Peculiar Children,Ransom Riggs,Miss Peregrine’s Peculiar Children,1,Miss Peregrine’s Peculiar Children,goodreads_dump,9460487,14345371,354564,9781594744761,641884,3.89
A Wrinkle in Time,Madeleine L'Engle,Time Quintet,1,Time Quintet,goodreads_dump,18131,948387,181634,9780440498056,633624,4.04
Me Before You,Jojo Moyes,Me Before You,1,Me Before You,goodreads_dump,15507958,17763198,747511,9780670026609,609327,4.27
City of Glass,Cassandra Clare,The Mortal Instruments,3,The Mortal Instruments,goodreads_dump,3777732,3443248,166517,9781416914303,606729,4.34
The Girl Who Played with Fire,Stieg Larsson,Millennium,2,Millennium,goodreads_dump,5060378,6976108,172668,9780307269980,575163,4.22
Catch-22,Joseph Heller,Catch-22,1,Catch-22,goodreads_dump,168668,814330,919750,9780684833392,574130,3.98
Fifty Shades Darker,E.L. James,Fifty Shades,2,Fifty Shades,goodreads_dump,11857408,16813814,273034,9781612130583,557000,3.87
City of Ashes,Cassandra Clare,The Mortal Instruments,2,The Mortal Instruments,goodreads_dump,1582996,1575860,157909,9781416914297,550237,4.21
Confessions of a Shopaholic,Sophie Kinsella,Shopaholic,1,Shopaholic,goodreads_dump,9416,3237433,165735,9780440241416,548649,3.62
A Clash of Kings,George R.R. Martin,A Song of Ice and Fire,2,A Song of Ice and Fire,goodreads_dump,10572,3272005,165927,9780553381696,534960,4.40
The Sisterhood of the Traveling Pants,Ann Brashares,Sisterhood,1,Sisterhood,goodreads_dump,452306,1058370,154566,9780385729338,532449,3.76
Outlander,Diana Gabaldon,Outlander,1,Outlander,goodreads_dump,10964,2489796,162462,9780440242949,531055,4.21
The Selection,Kiera Cass,The Selection,1,The Selection,goodreads_dump,10507293,15413183,489909,9780062059932,530867,4.15
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Freakonomics,1,Freakonomics,goodreads_dump,1202,5397,497357,9780061234002,529274,3.94
The Sea of Monsters,Rick Riordan,Percy Jackson and the Olympians,2,Percy Jackson and the Olympians,goodreads_dump,28186,43554,145025,9780786856862,527320,4.23
Matched,Ally Condie,Matched,1,Matched,goodreads_dump,7735333,9631645,206283,9780525423645,522712,3.68
The Battle of the Labyrinth,Rick Riordan,Percy Jackson and the Olympians,4,Percy Jackson and the Olympians,goodreads_dump,2120932,2377629,407929,9781423101468,519213,4.39
If I Stay,Gayle Forman,If I Stay,1,If I Stay,goodreads_dump,4374400,4422413,185463,9780525421030,516435,3.96
Anne of Green Gables,L.M. Montgomery,Anne of Green Gables,1,Anne of Green Gables,goodreads_dump,8127,3464264,166565,9780451528827,513174,4.23
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,The Wicked Years,1,The Wicked Years,goodreads_dump,37442,1479280,157478,9780060987107,508863,3.52
Clockwork Angel,Cassandra Clare,The Infernal Devices,1,The Infernal Devices,goodreads_dump,7171637,6674837,213230,9781416975861,502358,4.33
Dune,Frank Herbert,Dune,1,Dune,goodreads_dump,234225,3634639,166801,9780340839935,494553,4.20
The Two Towers,J.R.R. Tolkien,The Lord of the Rings,2,The Lord of the Rings,goodreads_dump,15241,2963845,291767,9780618346264,490005,4.42
A Storm of Swords,George R.R. Martin,A Song of Ice and Fire,3,A Song of Ice and Fire,goodreads_dump,62291,1164465,155390,9780553573428,477834,4.54
The Return of the King,J.R.R. Tolkien,The Lord of the Rings,3,The Lord of the Rings,goodreads_dump,18512,2964424,291768,9780345339737,473101,4.51
Allegiant,Veronica Roth,Divergent,3,Divergent,goodreads_dump,18710190,15524549,558803,9780007524273,472792,3.63
The Pillars of the Earth,Ken Follett,Kingsbridge,1,Kingsbridge,goodreads_dump,5043,3359698,256276,9780451207142,471990,4.29
The Titan's Curse,Rick Riordan,Percy Jackson and the Olympians,3,Percy Jackson and the Olympians,goodreads_dump,561456,2936530,164351,9780141382890,463156,4.34
Charlie and the Chocolate Factory,Roald Dahl,Charlie Bucket,1,Charlie Bucket,goodreads_dump,6310,2765786,182380,9780142403884,462516,4.11
Uglies,Scott Westerfeld,Uglies,1,Uglies,goodreads_dump,24770,2895388,164148,9780689865381,457310,3.86
"Hush, Hush",Becca Fitzpatrick,"Hush, Hush",1,"Hush, Hush",goodreads_dump,6339664,6525609,178789,9781416989417,457299,3.99
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Millennium,3,Millennium,goodreads_dump,6892870,12883496,177136,9780307269997,451075,4.21
Beautiful Creatures,Kami Garcia,Beautiful Creatures,1,Beautiful Creatures,goodreads_dump,6304335,6488966,170059,9780316042673,443213,3.76
Cinder,Marissa Meyer,The Lunar Chronicles,1,The Lunar Chronicles,goodreads_dump,11235712,15545385,267158,,441530,4.15
A Feast for Crows,George R.R. Martin,A Song of Ice and Fire,4,A Song of Ice and Fire,goodreads_dump,13497,1019062,297698,9780553582024,437398,4.10
Beautiful Disaster,Jamie McGuire,Beautiful,1,Beautiful,goodreads_dump,11505797,16441531,382493,,425898,4.14
Dead Until Dark,Charlaine Harris,Sookie Stackhouse,1,Sookie Stackhouse,goodreads_dump,301082,479517,149610,9780441008537,424919,3.96
The Name of the Wind,Patrick Rothfuss,The Kingkiller Chronicle,1,The Kingkiller Chronicle,goodreads_dump,186074,2502879,162522,9780756404079,416634,4.55
Something Borrowed,Emily Giffin,Darcy & Rachel,1,Darcy & Rachel,goodreads_dump,42156,1789440,229078,9780312321185,408834,3.83
Fallen,Lauren Kate,Fallen,1,Fallen,goodreads_dump,6487308,6678670,171216,9780385738934,402552,3.74
Angela's Ashes,Frank McCourt,Frank McCourt,1,Frank McCourt,goodreads_dump,252577,2883783,290754,9780007205233,401029,4.08
The Last Olympian,Rick Riordan,Percy Jackson and the Olympians,5,Percy Jackson and the Olympians,goodreads_dump,4502507,4551489,167726,9780739380338,398036,4.50
One for the Money,Janet Evanovich,Stephanie Plum,1,Stephanie Plum,goodreads_dump,6853,1486401,157522,9780312362089,396981,4.03
Artemis Fowl,Eoin Colfer,Artemis Fowl,1,Artemis Fowl,goodreads_dump,249747,1334778,156601,9780786817870,393254,3.82
Fifty Shades Freed,E.L. James,Fifty Shades,3,Fifty Shades,goodreads_dump,13536860,18034963,301233,9780345803504,391965,3.88
The Other Boleyn Girl,Philippa Gregory,The Plantagenet and Tudor Novels,9,The Plantagenet and Tudor Novels,goodreads_dump,37470,3248536,958559,9780743227445,384888,4.04
American Gods,Neil Gaiman,American Gods,1,American Gods,goodreads_dump,4407,1970226,552253,9780747263746,379668,4.11
Interview with the Vampire,Anne Rice,The Vampire Chronicles,1,The Vampire Chronicles,goodreads_dump,43763,873132,153245,9780345476876,378979,3.98
The Lost Symbol,Dan Brown,Robert Langdon,3,Robert Langdon,goodreads_dump,6411961,6600281,446481,9780385504225,377017,3.66
A Dance with Dragons,George R.R. Martin,A Song of Ice and Fire,5,A Song of Ice and Fire,goodreads_dump,10664113,2936175,297699,,374315,4.31
Marked,P.C. Cast,House of Night,1,House of Night,goodreads_dump,30183,30573,144834,9780312360269,364758,3.79
Shiver,Maggie Stiefvater,The Wolves of Mercy Falls,1,The Wolves of Mercy Falls,goodreads_dump,6068551,6244926,169365,9780545123266,360934,3.78
The Silence of the Lambs,Thomas Harris,Hannibal Lecter,2,Hannibal Lecter,goodreads_dump,23807,22533,207928,9780099446781,355935,4.15
City of Fallen Angels,Cassandra Clare,The Mortal Instruments,4,The Mortal Instruments,goodreads_dump,6752378,6948844,172594,9781442403543,348757,4.16
The Bourne Identity,Robert Ludlum,Jason Bourne,1,Jason Bourne,goodreads_dump,7869,859111,153157,9780752864327,331374,3.98
The Nanny Diaries,Emma McLaughlin,Nanny,1,Nanny,goodreads_dump,228333,221139,289839,9780312291631,326450,3.40
Clockwork Prince,Cassandra Clare,The Infernal Devices,2,The Infernal Devices,goodreads_dump,10025305,6674845,213231,9781416975885,318750,4.46
Along Came a Spider,James Patterson,Alex Cross,1,Alex Cross,goodreads_dump,13145,3373984,166343,9780446692632,317390,4.09
"A Child Called ""It""",Dave Pelzer,Dave Pelzer,1,Dave Pelzer,goodreads_dump,60748,59104,290380,9781558743663,314286,4.09
The Scorch Trials,James Dashner,The Maze Runner,2,The Maze Runner,goodreads_dump,7631105,6574198,534885,9780385738750,312407,3.93
The Voyage of the Dawn Treader,C.S. Lewis,The Chronicles of Narnia (Publication Order),3,The Chronicles of Narnia (Publication Order),goodreads_dump,140225,3349054,186114,9780061125270,310073,4.08
Legend,Marie Lu,Legend,1,Legend,goodreads_dump,9275658,14157512,190676,9780399256752,309165,4.19
The Cuckoo's Calling,Robert Galbraith,Cormoran Strike,1,Cormoran Strike,goodreads_dump,16160797,22002305,524305,9780316206846,308551,3.84
The Son of Neptune,Rick Riordan,The Heroes of Olympus,2,The Heroes of Olympus,goodreads_dump,9520360,14406312,202313,9781423140597,307188,4.44
City of Lost Souls,Cassandra Clare,The Mortal Instruments,5,The Mortal Instruments,goodreads_dump,8755776,13629058,178583,9781442416864,306686,4.30
The Mark of Athena,Rick Riordan,The Heroes of Olympus,3,The Heroes of Olympus,goodreads_dump,12127750,17115055,278159,9781423140603,298181,4.47
Watership Down,Richard Adams,Watership Down,1,Watership Down,goodreads_dump,76620,1357456,451526,9780380395866,297140,4.06
Inferno,Dan Brown,Robert Langdon,4,Robert Langdon,goodreads_dump,17212231,23841765,460936,9780385537858,296023,3.81
Throne of Glass,Sarah J. Maas,Throne of Glass,1,Throne of Glass,goodreads_dump,7896527,11138426,195203,9781599906959,295609,4.23
Inkheart,Cornelia Funke,Inkworld,1,Inkworld,goodreads_dump,28194,2628323,163047,9780439709101,288143,3.86
Harry Potter and the Cursed Child - Parts One and Two,John Tiffany,Harry Potter,8,Harry Potter,goodreads_dump,29056083,48765776,1055430,9780751565355,288018,3.74
Graceling,Kristin Cashore,Graceling Realm,1,Graceling Realm,goodreads_dump,3236307,3270810,238151,9780152063962,287983,4.10
Foundation,Isaac Asimov,Foundation (Publication Order),1,Foundation (Publication Order),goodreads_dump,29579,1783981,250807,9780553803716,286677,4.13
The Bad Beginning,Lemony Snicket,A Series of Unfortunate Events,1,A Series of Unfortunate Events,goodreads_dump,78411,1069597,154635,9780439206471,281697,3.90
The Lost Hero,Rick Riordan,The Heroes of Olympus,1,The Heroes of Olympus,goodreads_dump,7736182,10107891,435378,9781423113393,279906,4.35
Kiss the Girls,James Patterson,Alex Cross,2,Alex Cross,goodreads_dump,13148,881425,153314,9780446677387,277099,3.93
The Hunt for Red October,Tom Clancy,Jack Ryan Universe,4,Jack Ryan Universe,goodreads_dump,19691,1112006,869652,9780425172902,274053,4.02
The Magician's Nephew,C.S. Lewis,The Chronicles of Narnia (Publication Order),6,The Chronicles of Narnia (Publication Order),goodreads_dump,65605,1031537,186116,9780060764906,273279,4.01
Shadow Kiss,Richelle Mead,Vampire Academy,3,Vampire Academy,goodreads_dump,2802316,6651006,171050,9781595141972,271882,4.37
The 5th Wave,Rick Yancey,The 5th Wave,1,The 5th Wave,goodreads_dump,16101128,19187812,435909,9780399162411,270771,4.10
Diary of a Wimpy Kid,Jeff Kinney,Diary of a Wimpy Kid,1,Diary of a Wimpy Kid,goodreads_dump,389627,2617009,163024,9780810993136,270564,3.96
The Shadow of the Wind,Carlos Ruiz Zafon,El cementerio de los libros olvidados,1,El cementerio de los libros olvidados,goodreads_dump,1232,3209783,333181,9780143034902,269927,4.25
Anna and the French Kiss,Stephanie Perkins,Anna and the French Kiss,1,Anna and the French Kiss,goodreads_dump,6936382,7168450,587709,9780525423270,267364,4.07
The Eye of the World,Robert Jordan,The Wheel of Time,1,The Wheel of Time,goodreads_dump,228665,2008238,160203,9780812511819,266994,4.18
Delirium,Lauren Oliver,Delirium,1,Delirium,goodreads_dump,11614718,10342808,205946,9780061726835,262951,3.99
The Rosie Project,Graeme Simsion,Don Tillman,1,Don Tillman,goodreads_dump,16181775,22084678,620570,9781476729084,259734,4.01
Frostbite,Richelle Mead,Vampire Academy,2,Vampire Academy,goodreads_dump,2282133,6651004,171049,9781595141750,259401,4.30
I Am Number Four,Pittacus Lore,Lorien Legacies,1,Lorien Legacies,goodreads_dump,7747374,10576999,175881,9780061969553,257482,3.94
Wonder,R.J. Palacio,Wonder,1,Wonder,goodreads_dump,11387515,16319487,632090,9780375869020,255461,4.43
Reflected in You,Sylvia Day,Crossfire,2,Crossfire,goodreads_dump,13596809,19186128,365521,9780425263914,254687,4.33
Prince Caspian,C.S. Lewis,The Chronicles of Narnia (Publication Order),2,The Chronicles of Narnia (Publication Order),goodreads_dump,121749,3348636,186113,9780007202300,254041,3.96
Eldest,Christopher Paolini,The Inheritance Cycle,2,The Inheritance Cycle,goodreads_dump,45978,2035753,160373,9780375840401,253839,3.96
Vampire Academy,Richelle Mead,Vampire Academy,1,Vampire Academy,goodreads_dump,345627,335933,148158,9781595141743,253685,4.14
The Wise Man's Fear,Patrick Rothfuss,The Kingkiller Chronicle,2,The Kingkiller Chronicle,goodreads_dump,1215032,2502882,162523,9780756404734,253462,4.57
The Wonderful Wizard of Oz,L. Frank Baum,Oz,1,Oz,goodreads_dump,236093,1993810,160108,9780140621679,251691,3.98
Good in Bed,Jennifer Weiner,Cannie Shapiro,1,Cannie Shapiro,goodreads_dump,14748,2796838,206758,9780743418171,251303,3.70
The Secret,Rhonda Byrne,The Secret,1,The Secret,goodreads_dump,52529,2001660,511970,9781582701707,247542,3.63
The Subtle Knife,Philip Pullman,His Dark Materials,2,His Dark Materials,goodreads_dump,119324,1570229,157888,9780679879251,246697,4.11
The Elite,Kiera Cass,The Selection,2,The Selection,goodreads_dump,16248068,20397129,384046,9780062059963,242242,4.02
Stargirl,Jerry Spinelli,Stargirl,1,Stargirl,goodreads_dump,22232,963221,211530,9780439488402,241990,3.75
The Red Pyramid,Rick Riordan,Kane Chronicles,1,Kane Chronicles,goodreads_dump,7090447,7346572,185772,9781423113386,239434,4.07
Island of the Blue Dolphins,Scott O'Dell,Island of the Blue Dolphins,1,Island of the Blue Dolphins,goodreads_dump,233818,3215136,408772,9780440439882,238719,3.80
1st to Die,James Patterson,Women's Murder Club,1,Women's Murder Club,goodreads_dump,13137,1711194,158581,9780446696616,238566,4.06
Blood Promise,Richelle Mead,Vampire Academy,4,Vampire Academy,goodreads_dump,5996153,6651007,171051,9781595141989,234405,4.35
Evermore,Alyson Noel,The Immortals,1,The Immortals,goodreads_dump,3975774,4021549,167192,9780312532758,232578,3.59
Dark Lover,J.R. Ward,Black Dagger Brotherhood,1,Black Dagger Brotherhood,goodreads_dump,42899,2158128,160993,9780451216953,231228,4.21
A Discovery of Witches,Deborah Harkness,All Souls Trilogy,1,All Souls Trilogy,goodreads_dump,8667848,13190160,266130,9780670022410,230866,3.99
The Death Cure,James Dashner,The Maze Runner,3,The Maze Runner,goodreads_dump,7864437,11022464,534887,9780385738774,229304,3.77
Crescendo,Becca Fitzpatrick,"Hush, Hush",2,"Hush, Hush",goodreads_dump,7791997,6867038,179081,9781416989431,229280,4.07
Hatchet,Gary Paulsen,Brian's Saga,1,Brian's Saga,goodreads_dump,50,1158125,268218,9780689840920,228734,3.68
Spirit Bound,Richelle Mead,Vampire Academy,5,Vampire Academy,goodreads_dump,6479259,6670482,171164,9781595142504,226206,4.37
Bared to You,Sylvia Day,Crossfire,1,Crossfire,goodreads_dump,13572249,18973111,340088,9780425263907,222810,4.19
The Final Empire,Brandon Sanderson,Mistborn,1,Mistborn,goodreads_dump,68428,66322,145379,9780765311788,216149,4.43
Brisingr,Christopher Paolini,The Inheritance Cycle,3,The Inheritance Cycle,goodreads_dump,2248573,3124969,165305,9780375826726,215791,4.03
Last Sacrifice,Richelle Mead,Vampire Academy,6,Vampire Academy,goodreads_dump,6527740,13385418,178100,9781595143068,211325,4.42
Winnie-the-Pooh,A.A. Milne,Winnie-the-Pooh,1,Winnie-the-Pooh,goodreads_dump,99107,1225592,422808,9780525467564,210450,4.34
Odd Thomas,Dean Koontz,Odd Thomas,1,Odd Thomas,goodreads_dump,14995,4574034,167753,9780553384284,208258,3.94
Storm Front,Jim Butcher,The Dresden Files,1,The Dresden Files,goodreads_dump,47212,1137060,155180,9780451457813,207352,4.02
Betrayed,P.C. Cast,House of Night,2,House of Night,goodreads_dump,676924,662923,151539,9780312360283,206646,3.93
Red Queen,Victoria Aveyard,Red Queen,1,Red Queen,goodreads_dump,22328546,25037051,682705,9780062310637,205243,4.08
Daughter of Smoke & Bone,Laini Taylor,Daughter of Smoke & Bone,1,Daughter of Smoke & Bone,goodreads_dump,8490112,13355552,298928,9780316134026,204609,4.04
The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,Mark Cotta Vaz,The Twilight Saga: The Official Illustrated Movie Companion,4,The Twilight Saga: The Official Illustrated Movie Companion,goodreads_dump,11260526,16187316,335637,9780316134118,203853,4.30
Things Fall Apart,Chinua Achebe,The African Trilogy,1,The African Trilogy,goodreads_dump,37781,825843,851749,9780385474542,203559,3.61
Dead to the World,Charlaine Harris,Sookie Stackhouse,4,Sookie Stackhouse,goodreads_dump,140077,1808005,159024,9780441012183,203048,4.13
The City of Ember,Jeanne DuPrau,Book of Ember,1,Book of Ember,goodreads_dump,307791,2285229,161611,9780375822742,202775,3.85
Perfect Chemistry,Simone Elkeles,Perfect Chemistry,1,Perfect Chemistry,goodreads_dump,4268157,4315675,167494,9780802798237,202115,4.07
"I, Robot",Isaac Asimov,Robot,.1,Robot,goodreads_dump,41804,1796026,179172,9780553803709,201196,4.17
Little House on the Prairie,Laura Ingalls Wilder,Little House,2,Little House,goodreads_dump,77767,2884161,164100,9780064400022,200877,4.18
Scarlet,Marissa Meyer,The Lunar Chronicles,2,The Lunar Chronicles,goodreads_dump,13206760,18390691,319987,9780312642969,200430,4.30
The Three Musketeers,Alexandre Dumas,The D'Artagnan Romances,1,The D'Artagnan Romances,goodreads_dump,7190,1263212,220200,,198892,4.06
Red Dragon,Thomas Harris,Hannibal Lecter,1,Hannibal Lecter,goodreads_dump,28877,925503,207927,9780525945567,198259,4.02
The Princess Diaries,Meg Cabot,The Princess Diaries,1,The Princess Diaries,goodreads_dump,38980,2073907,160552,9780613371650,196360,3.76
Where She Went,Gayle Forman,If I Stay,2,If I Stay,goodreads_dump,8492825,10706553,185464,9780525422945,196276,4.05
Silence,Becca Fitzpatrick,"Hush, Hush",3,"Hush, Hush",goodreads_dump,10637766,14158688,189010,9781442426641,196160,4.16
The Amber Spyglass,Philip Pullman,His Dark Materials,3,His Dark Materials,goodreads_dump,18122,1774510,158863,9780440238157,196022,4.07
The Color of Magic,Terry Pratchett,Discworld,1,Discworld,goodreads_dump,34497,194190,146780,9780060855925,195805,3.98
Pretties,Scott Westerfeld,Uglies,2,Uglies,goodreads_dump,24768,1568076,157870,9780689865398,195561,3.85
In the Woods,Tana French,Dublin Murder Squad,1,Dublin Murder Squad,goodreads_dump,237209,3088141,198076,9780670038602,194636,3.75
Hopeless,Colleen Hoover,Hopeless,1,Hopeless,goodreads_dump,15717943,21389085,468993,9781301949823,194321,4.33
The Horse and His Boy,C.S. Lewis,The Chronicles of Narnia (Publication Order),5,The Chronicles of Narnia (Publication Order),goodreads_dump,84119,3294501,186115,9780439861366,193081,3.90
Untamed,P.C. Cast,House of Night,4,House of Night,goodreads_dump,2866718,2892871,164124,9780312379834,192869,3.95
Living Dead in Dallas,Charlaine Harris,Sookie Stackhouse,2,Sookie Stackhouse,goodreads_dump,110494,738775,152096,9781841493008,192189,3.97
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,Maus,1,Maus,goodreads_dump,15196,1947012,186595,9780394541556,189288,4.35
Chosen,P.C. Cast,House of Night,3,House of Night,goodreads_dump,1326258,1315683,156478,9780312360306,185645,3.91
Neuromancer,William Gibson,Sprawl,1,Sprawl,goodreads_dump,22328,909457,153514,9780441569595,184611,3.88
The Good Earth,Pearl S. Buck,House of Earth,1,House of Earth,goodreads_dump,1078,2346070,161837,9781416500186,184111,3.97
Pandemonium,Lauren Oliver,Delirium,2,Delirium,goodreads_dump,9593911,14480923,205947,9780061978067,183654,4.07
City of Heavenly Fire,Cassandra Clare,The Mortal Instruments,6,The Mortal Instruments,goodreads_dump,8755785,13629068,178584,9781481426305,183343,4.48
Dragonfly in Amber,Diana Gabaldon,Outlander,2,Outlander,goodreads_dump,5364,2866304,164014,9780385335973,183055,4.31
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,No. 1 Ladies' Detective Agency,1,No. 1 Ladies' Detective Agency,goodreads_dump,7061,826298,152883,9781400034772,183034,3.76
A Court of Thorns and Roses,Sarah J. Maas,A Court of Thorns and Roses,1,A Court of Thorns and Roses,goodreads_dump,16096824,21905102,503685,9781619634442,182581,4.28
Club Dead,Charlaine Harris,Sookie Stackhouse,3,Sookie Stackhouse,goodreads_dump,140082,602144,150934,9781841493015,182560,4.03
Shatter Me,Tahereh Mafi,Shatter Me,1,Shatter Me,goodreads_dump,10429045,15333458,289139,9780062085481,180738,4.01
Wizard's First Rule,Terry Goodkind,Sword of Truth,1,Sword of Truth,goodreads_dump,43889,1323305,156551,9780765346520,178908,4.13
The Clan of the Cave Bear,Jean M. Auel,Earth's Children,1,Earth's Children,goodreads_dump,1295,1584694,157959,9780553381672,178163,4.02
Torment,Lauren Kate,Fallen,2,Fallen,goodreads_dump,7740152,7380161,173891,9780385739146,177121,3.89
A Great and Terrible Beauty,Libba Bray,Gemma Doyle,1,Gemma Doyle,goodreads_dump,3682,2113193,160750,9780689875342,175173,3.79
The Angel Experiment,James Patterson,Maximum Ride,1,Maximum Ride,goodreads_dump,13152,1829521,228796,9780446617796,174829,4.08
2001: A Space Odyssey,Arthur C. Clarke,Space Odyssey,1,Space Odyssey,goodreads_dump,70535,208362,178930,9780451457998,174587,4.12
Something Blue,Emily Giffin,Darcy & Rachel,2,Darcy & Rachel,goodreads_dump,42155,1470371,229079,9780312323868,174284,3.92
The Silver Chair,C.S. Lewis,The Chronicles of Narnia (Publication Order),4,The Chronicles of Narnia (Publication Order),goodreads_dump,65641,1419727,178716,9780064405041,173392,3.95
Fall of Giants,Ken Follett,The Century Trilogy,1,The Century Trilogy,goodreads_dump,7315573,8842841,420912,9780525951650,173110,4.26
Dead as a Doornail,Charlaine Harris,Sookie Stackhouse,5,Sookie Stackhouse,goodreads_dump,170210,1053933,154543,9780441013333,170673,4.01
